verb,perfekt,meaning
backen,hat gebacken,Unregelmäßige Verben
befehlen,hat befohlen,Unregelmäßige Verben
beginnen,hat begonnen,Unregelmäßige Verben
beißen,hat gebissen,Unregelmäßige Verben
bergen,hat geborgen,Unregelmäßige Verben
biegen,ist/hat gebogen,"Verben mit ""sein"" und ""haben"""
bieten,hat geboten,Unregelmäßige Verben
binden,hat gebunden,Unregelmäßige Verben
bitten,hat gebeten,Unregelmäßige Verben
blasen,hat geblasen,Unregelmäßige Verben
bleiben,ist geblieben,Unregelmäßige Verben
bleichen,ist geblichen,Unregelmäßige Verben
braten,hat gebraten,Unregelmäßige Verben
brechen,ist/hat gebrochen,"Verben mit ""sein"" und ""haben"""
empfangen,hat empfangen,Unregelmäßige Verben
empfehlen,hat empfohlen,Unregelmäßige Verben
empfinden,hat empfunden,Unregelmäßige Verben
erschrecken,ist erschrocken,Unregelmäßige Verben
essen,hat gegessen,Unregelmäßige Verben
fahren,ist/hat gefahren,"Verben mit ""sein"" und ""haben"""
fallen,ist gefallen,Unregelmäßige Verben
fangen,hat gefangen,Unregelmäßige Verben
finden,hat gefunden,Unregelmäßige Verben
flechten,hat geflochten,Unregelmäßige Verben
fliegen,ist/hat geflogen,"Verben mit ""sein"" und ""haben"""
fliehen,ist geflohen,Unregelmäßige Verben
fließen,ist geflossen,Unregelmäßige Verben
fressen,hat gefressen,Unregelmäßige Verben
frieren,ist/hat gefroren,"Verben mit ""sein"" und ""haben"""
gebären,hat geboren,Unregelmäßige Verben
geben,hat gegeben,Unregelmäßige Verben
gehen,ist gegangen,Unregelmäßige Verben
gelingen,ist gelungen,Unregelmäßige Verben
genesen,ist genesen,Unregelmäßige Verben
genießen,hat genossen,Unregelmäßige Verben
geschehen,ist geschehen,Unregelmäßige Verben
gewinnen,hat gewonnen,Unregelmäßige Verben
gießen,hat gegossen,Unregelmäßige Verben
gleichen,hat geglichen,Unregelmäßige Verben
gleiten,ist geglitten,Unregelmäßige Verben
graben,hat gegraben,Unregelmäßige Verben
greifen,hat gegriffen,Unregelmäßige Verben
haben,hat gehabt,Unregelmäßige Verben
halten,hat gehalten,Unregelmäßige Verben
hängen,hat gehangen,Unregelmäßige Verben
heben,hat gehoben,Unregelmäßige Verben
heißen,hat geheißen,Unregelmäßige Verben
helfen,hat geholfen,Unregelmäßige Verben
klingen,hat geklungen,Unregelmäßige Verben
kneifen,hat gekniffen,Unregelmäßige Verben
kommen,ist gekommen,Unregelmäßige Verben
kriechen,ist gekrochen,Unregelmäßige Verben
laden,hat geladen,Unregelmäßige Verben
lassen,hat gelassen,Unregelmäßige Verben
laufen,ist gelaufen,Unregelmäßige Verben
leiden,hat gelitten,Unregelmäßige Verben
leihen,hat geliehen,Unregelmäßige Verben
lesen,hat gelesen,Unregelmäßige Verben
liegen,ist/hat gelegen,"Verben mit ""sein"" und ""haben"""
lügen,hat gelogen,Unregelmäßige Verben
meiden,hat gemieden,Unregelmäßige Verben
melken,hat gemolken,Unregelmäßige Verben
messen,hat gemessen,Unregelmäßige Verben
misslingen,ist misslungen,Unregelmäßige Verben
nehmen,hat genommen,Unregelmäßige Verben
pfeifen,hat gepfiffen,Unregelmäßige Verben
raten,hat geraten,Unregelmäßige Verben
reiben,hat gerieben,Unregelmäßige Verben
reißen,hat gerissen,Unregelmäßige Verben
reiten,ist/hat geritten,"Verben mit ""sein"" und ""haben"""
riechen,hat gerochen,Unregelmäßige Verben
ringen,hat gerungen,Unregelmäßige Verben
rinnen,ist geronnen,Unregelmäßige Verben
rufen,hat gerufen,Unregelmäßige Verben
saufen,hat gesoffen,Unregelmäßige Verben
schaffen,hat geschaffen,Unregelmäßige Verben
scheinen,hat geschienen,Unregelmäßige Verben
schieben,hat geschoben,Unregelmäßige Verben
schießen,hat geschossen,Unregelmäßige Verben
schlafen,hat geschlafen,Unregelmäßige Verben
schlagen,hat geschlagen,Unregelmäßige Verben
schleichen,ist geschlichen,Unregelmäßige Verben
schleifen,hat geschliffen,Unregelmäßige Verben
schließen,hat geschlossen,Unregelmäßige Verben
schlingen,hat geschlungen,Unregelmäßige Verben
schmeißen,hat geschmissen,Unregelmäßige Verben
schmelzen,ist/hat geschmolzen,"Verben mit ""sein"" und ""haben"""
schneiden,hat geschnitten,Unregelmäßige Verben
schreiben,hat geschrieben,Unregelmäßige Verben
schreien,hat geschrien,Unregelmäßige Verben
schweigen,hat geschwiegen,Unregelmäßige Verben
schwellen,ist geschwollen,Unregelmäßige Verben
schwören,hat geschworen,Unregelmäßige Verben
sehen,hat gesehen,Unregelmäßige Verben
sein,ist gewesen,Unregelmäßige Verben
singen,hat gesungen,Unregelmäßige Verben
sinken,ist gesunken,Unregelmäßige Verben
sitzen,ist/hat gesessen,"Verben mit ""sein"" und ""haben"""
spinnen,hat gesponnen,Unregelmäßige Verben
sprechen,hat gesprochen,Unregelmäßige Verben
springen,ist gesprungen,Unregelmäßige Verben
stechen,hat gestochen,Unregelmäßige Verben
stehen,ist/hat gestanden,"Verben mit ""sein"" und ""haben"""
stehlen,hat gestohlen,Unregelmäßige Verben
steigen,ist gestiegen,Unregelmäßige Verben
sterben,ist gestorben,Unregelmäßige Verben
stinken,hat gestunken,Unregelmäßige Verben
stoßen,ist/hat gestoßen,"Verben mit ""sein"" und ""haben"""
streichen,hat gestrichen,Unregelmäßige Verben
streiten,hat gestritten,Unregelmäßige Verben
tragen,hat getragen,Unregelmäßige Verben
treffen,hat getroffen,Unregelmäßige Verben
treiben,hat getrieben,Unregelmäßige Verben
treten,hat getreten,Unregelmäßige Verben
trinken,hat getrunken,Unregelmäßige Verben
tun,hat getan,Unregelmäßige Verben
verderben,ist/hat verdorben,"Verben mit ""sein"" und ""haben"""
vergessen,hat vergessen,Unregelmäßige Verben
verlieren,hat verloren,Unregelmäßige Verben
verschwinden,ist verschwunden,Unregelmäßige Verben
wachsen,ist gewachsen,Unregelmäßige Verben
waschen,hat gewaschen,Unregelmäßige Verben
weichen,ist gewichen,Unregelmäßige Verben
werben,hat geworben,Unregelmäßige Verben
werden,ist geworden,Unregelmäßige Verben
werfen,hat geworfen,Unregelmäßige Verben
wiegen,hat gewogen,Unregelmäßige Verben
ziehen,ist/hat gezogen,"Verben mit ""sein"" und ""haben"""
zwingen,hat gezwungen,Unregelmäßige Verben
schwimmen,ist/hat geschwommen,"Verben mit ""sein"" und ""haben"""
brennen,hat gebrannt,Mischverben
bringen,hat gebracht,Mischverben
denken,hat gedacht,Mischverben
kennen,hat gekannt,Mischverben
nennen,hat genannt,Mischverben
rennen,ist gerannt,Mischverben
senden,hat gesendet,Mischverben
wenden,hat gewandt,Mischverben
wissen,hat gewusst,Mischverben
dürfen,hat gedurft,Modalverben
können,hat gekonnt,Modalverben
möchten,hat gemocht,Modalverben
mögen,hat gemocht,Modalverben
müssen,hat gemusst,Modalverben
sollen,hat gesollt,Modalverben
wollen,hat gewollt,Modalverben
