verb,praeteritum,meaning
backen,backte,Unregelmäßige Verben
befehlen,befahl,Unregelmäßige Verben
beginnen,begann,Unregelmäßige Verben
beißen,biss,Unregelmäßige Verben
bergen,barg,Unregelmäßige Verben
biegen,bog,"Verben mit ""sein"" und ""haben"""
bieten,bot,Unregelmäßige Verben
binden,band,Unregelmäßige Verben
bitten,bat,Unregelmäßige Verben
blasen,blies,Unregelmäßige Verben
bleiben,blieb,Unregelmäßige Verben
bleichen,blich,Unregelmäßige Verben
braten,briet,Unregelmäßige Verben
brechen,brach,"Verben mit ""sein"" und ""haben"""
empfangen,empfing,Unregelmäßige Verben
empfehlen,empfahl,Unregelmäßige Verben
empfinden,empfand,Unregelmäßige Verben
erschrecken,erschrak,Unregelmäßige Verben
essen,aß,Unregelmäßige Verben
fahren,fuhr,"Verben mit ""sein"" und ""haben"""
fallen,fiel,Unregelmäßige Verben
fangen,fing,Unregelmäßige Verben
finden,fand,Unregelmäßige Verben
flechten,flocht,Unregelmäßige Verben
fliegen,flog,"Verben mit ""sein"" und ""haben"""
fliehen,floh,Unregelmäßige Verben
fließen,floss,Unregelmäßige Verben
fressen,fraß,Unregelmäßige Verben
frieren,fror,"Verben mit ""sein"" und ""haben"""
gebären,gebar,Unregelmäßige Verben
geben,gab,Unregelmäßige Verben
gehen,ging,Unregelmäßige Verben
gelingen,gelang,Unregelmäßige Verben
genesen,genas,Unregelmäßige Verben
genießen,genoss,Unregelmäßige Verben
geschehen,geschah,Unregelmäßige Verben
gewinnen,gewann,Unregelmäßige Verben
gießen,goss,Unregelmäßige Verben
gleichen,glich,Unregelmäßige Verben
gleiten,glitt,Unregelmäßige Verben
graben,grub,Unregelmäßige Verben
greifen,griff,Unregelmäßige Verben
haben,hatte,Unregelmäßige Verben
halten,hielt,Unregelmäßige Verben
hängen,hing,Unregelmäßige Verben
heben,hob,Unregelmäßige Verben
heißen,hieß,Unregelmäßige Verben
helfen,half,Unregelmäßige Verben
klingen,klang,Unregelmäßige Verben
kneifen,kniff,Unregelmäßige Verben
kommen,kam,Unregelmäßige Verben
kriechen,kroch,Unregelmäßige Verben
laden,lud,Unregelmäßige Verben
lassen,ließ,Unregelmäßige Verben
laufen,lief,Unregelmäßige Verben
leiden,litt,Unregelmäßige Verben
leihen,lieh,Unregelmäßige Verben
lesen,las,Unregelmäßige Verben
liegen,lag,"Verben mit ""sein"" und ""haben"""
lügen,log,Unregelmäßige Verben
meiden,mied,Unregelmäßige Verben
melken,molk,Unregelmäßige Verben
messen,maß,Unregelmäßige Verben
misslingen,misslang,Unregelmäßige Verben
nehmen,nahm,Unregelmäßige Verben
pfeifen,pfiff,Unregelmäßige Verben
raten,riet,Unregelmäßige Verben
reiben,rieb,Unregelmäßige Verben
